,month,date,open,high,low,close,change,volume,open_interest,change_in_oi,future
16,Mar20,200115,302.50,303.90,300.00,300.10,-1.90,66845,224644,"+1,883",Soybean Meal(CBOT)
17,May20,200115,306.90,308.40,304.60,304.80,-1.80,29568,101892,"+1,720",Soybean Meal(CBOT)
18,Jul20,200115,311.40,312.90,309.20,309.40,-1.60,15592,65353,-284,Soybean Meal(CBOT)
19,Aug20,200115,312.60,314.30,311.10,311.10,-1.40,1588,11278,-111,Soybean Meal(CBOT)
20,Sep20,200115,313.50,315.30,312.20,312.30,-1.10,1336,10411,-146,Soybean Meal(CBOT)
21,Oct20,200115,313.10,315.50,312.50,312.60,-0.60,1064,8833,+317,Soybean Meal(CBOT)
22,Dec20,200115,315.40,317.80,314.70,315.00,unch,4969,27298,+605,Soybean Meal(CBOT)
23,Jan21,200115,316.80,317.40,314.50,314.70,-0.30,202,2661,+77,Soybean Meal(CBOT)
24,Mar21,200115,312.40,314.40,311.60,311.90,-0.20,198,7067,+70,Soybean Meal(CBOT)
25,May21,200115,312.00,313.20,310.50,310.90,-0.10,61,843,+4,Soybean Meal(CBOT)
28,Mar20,200115,34.08,34.11,33.25,33.30,-0.77,72199,241919,-4884,Soybean Oil(CBOT)
29,May20,200115,34.38,34.43,33.58,33.64,-0.76,27485,109565,"+1,848",Soybean Oil(CBOT)
30,Jul20,200115,34.76,34.78,33.96,34.01,-0.75,20174,99951,"+3,980",Soybean Oil(CBOT)
31,Aug20,200115,34.80,34.84,34.06,34.10,-0.71,3072,15947,+570,Soybean Oil(CBOT)
32,Sep20,200115,34.87,34.88,34.12,34.16,-0.71,748,10840,+205,Soybean Oil(CBOT)
33,Oct20,200115,34.90,34.91,34.14,34.18,-0.72,414,9186,+183,Soybean Oil(CBOT)
34,Dec20,200115,34.99,35.06,34.28,34.36,-0.71,3454,42450,+256,Soybean Oil(CBOT)
35,Jan21,200115,34.90,34.90,34.42,34.50,-0.74,1055,5717,+733,Soybean Oil(CBOT)
36,Mar21,200115,34.87,34.87,34.36,34.46,-0.75,244,3835,+59,Soybean Oil(CBOT)
37,May21,200115,34.86,34.86,34.37,34.45,-0.76,82,958,-45,Soybean Oil(CBOT)
40,Jan20,200114,474.5,474.5,474.5,474.5,+0.2,,,,Canola(WCE)
41,Mar20,200115,481.2,482.2,475.1,475.8,-5.7,11754,79196,-226,Canola(WCE)
42,May20,200115,490.0,490.3,484.3,485.0,-5.3,3667,49366,+777,Canola(WCE)
43,Jul20,200115,494.8,495.0,489.9,490.4,-5.0,1794,21675,"+1,072",Canola(WCE)
44,Nov20,200115,496.8,498.2,493.3,493.8,-3.5,1370,33473,+685,Canola(WCE)
47,Mar20,200115,388.75,390.25,386.50,387.50,-1.50,115957,734647,-1578,Corn(CBOT)
48,May20,200115,395.75,397.00,393.50,394.00,-2.00,26250,220112,+556,Corn(CBOT)
49,Jul20,200115,402.00,403.25,399.50,400.50,-1.75,35628,257412,"+2,025",Corn(CBOT)
50,Sep20,200115,402.00,403.00,399.75,400.25,-2.00,16648,119367,"+4,843",Corn(CBOT)
51,Dec20,200115,403.75,404.75,402.00,402.50,-1.75,17410,190907,+898,Corn(CBOT)
52,Mar21,200115,413.25,414.00,411.25,412.00,-1.75,1240,13057,+271,Corn(CBOT)
53,May21,200115,417.50,417.75,415.50,416.00,-1.75,97,2602,+56,Corn(CBOT)
54,Jul21,200115,419.75,420.25,418.00,418.75,-1.50,440,7133,+232,Corn(CBOT)
55,Sep21,200115,410.50,410.50,409.25,409.25,-1.25,2,902,+0,Corn(CBOT)
56,Dec21,200115,410.75,411.00,408.50,409.50,-1.75,457,9767,+56,Corn(CBOT)
59,Mar20,200115,569.00,578.75,568.25,573.25,+4.75,69294,215756,-1251,Wheat(CBOT)
60,May20,200115,570.50,579.25,570.00,574.00,+3.75,27022,76387,"+3,097",Wheat(CBOT)
61,Jul20,200115,572.00,579.50,571.50,574.75,+3.00,21138,104602,"+2,501",Wheat(CBOT)
62,Sep20,200115,577.00,583.75,576.50,579.50,+3.00,8998,36644,"+2,657",Wheat(CBOT)
63,Dec20,200115,585.00,591.00,584.25,587.00,+2.25,7110,30836,"+1,888",Wheat(CBOT)
64,Mar21,200115,591.00,596.25,590.75,593.25,+1.75,748,8388,+167,Wheat(CBOT)
67,Mar20,200115,496.00,504.25,493.75,496.50,-0.50,30885,135428,"+1,029",Wheat(KCBT)
68,May20,200115,503.75,511.75,501.25,504.00,-0.50,11892,55573,"+2,000",Wheat(KCBT)
69,Jul20,200115,512.00,519.00,509.25,511.50,-0.75,7082,53589,+205,Wheat(KCBT)
70,Sep20,200115,519.75,527.25,517.75,519.75,-1.00,3821,18561,+573,Wheat(KCBT)
71,Dec20,200115,531.75,537.75,529.00,531.00,-1.00,1162,17896,+334,Wheat(KCBT)
72,Mar21,200115,543.50,548.00,540.50,541.50,-1.00,39,1853,-1,Wheat(KCBT)
73,May21,200115,545.50,548.25,541.00,541.75,-2.75,4,270,-4,Wheat(KCBT)
76,Mar20,200115,555.50,563.00,552.00,556.25,+0.25,4420,31230,-100,Wheat(MGE)
77,May20,200115,564.00,570.50,560.25,563.75,-0.50,1125,15531,+260,Wheat(MGE)
78,Jul20,200115,571.25,577.00,567.00,570.50,-0.50,567,7054,+117,Wheat(MGE)
79,Sep20,200115,577.75,585.00,575.25,579.25,+0.25,337,5016,-46,Wheat(MGE)
80,Dec20,200115,586.50,596.75,586.50,591.00,+0.50,162,2877,+73,Wheat(MGE)
81,Mar21,200115,601.00,605.00,601.00,602.50,+0.75,8,971,+4,Wheat(MGE)
84,Mar20,200115,311.75,314.25,303.25,305.75,-7.25,495,4122,+174,Oats(CBOT)
85,May20,200115,306.75,308.00,299.75,302.25,-4.25,99,512,+61,Oats(CBOT)
86,Jul20,200115,292.50,293.75,290.75,293.75,-4.25,27,128,+13,Oats(CBOT)
87,Sep20,200115,282.50,282.50,282.00,282.00,unch,8,67,+4,Oats(CBOT)
90,Jan20,200114,12.96,13.05,12.96,13.05,+0.08,18,13,+9,Rough Rice(CBOT)
91,Mar20,200115,13.35,13.41,13.26,13.36,+0.01,422,10411,+37,Rough Rice(CBOT)
92,May20,200115,13.41,13.44,13.30,13.43,+0.01,77,617,+36,Rough Rice(CBOT)
93,Jul20,200115,13.25,13.25,13.16,13.25,unch,21,126,+7,Rough Rice(CBOT)
96,Feb20,200115,126.980,127.230,126.080,126.600,-0.250,32348,87929,-9407,Live Cattle(CME)
97,Apr20,200115,127.900,128.130,126.900,127.500,-0.385,30722,143906,"+7,656",Live Cattle(CME)
98,Jun20,200115,119.600,119.885,118.700,119.430,-0.300,14831,100582,"+2,143",Live Cattle(CME)
99,Aug20,200115,117.150,117.550,116.400,117.135,-0.150,5019,37618,+594,Live Cattle(CME)
100,Oct20,200115,119.300,119.635,118.650,119.285,-0.195,2328,15712,+523,Live Cattle(CME)
101,Dec20,200115,122.035,122.300,121.400,121.980,-0.155,627,5739,+198,Live Cattle(CME)
104,Jan20,200115,145.900,146.630,144.600,145.435,-0.465,1147,3751,-364,Feeder Cattle(CME)
105,Mar20,200115,145.650,146.150,144.200,145.185,-0.550,4277,24548,+293,Feeder Cattle(CME)
106,Apr20,200115,148.650,149.000,147.350,148.200,-0.450,1953,9875,+25,Feeder Cattle(CME)
107,May20,200115,150.100,150.550,148.880,149.830,-0.220,1168,8139,+107,Feeder Cattle(CME)
108,Aug20,200115,155.400,155.985,154.380,155.330,-0.070,965,5928,+201,Feeder Cattle(CME)
109,Sep20,200115,156.100,157.000,155.400,156.450,+0.200,430,1608,+83,Feeder Cattle(CME)
110,Oct20,200115,156.285,157.185,155.735,156.830,+0.530,209,555,+14,Feeder Cattle(CME)
113,Feb20,200115,67.600,68.050,66.785,67.885,+0.205,35079,67334,-7845,Lean Hogs(CME)
114,Apr20,200115,74.635,75.180,73.850,74.980,-0.020,28666,98380,"+6,716",Lean Hogs(CME)
115,May20,200115,80.930,81.580,80.500,81.480,+0.380,39,1670,+1,Lean Hogs(CME)
116,Jun20,200115,86.635,87.580,85.930,87.500,+0.670,10554,46130,"+1,089",Lean Hogs(CME)
117,Jul20,200115,87.250,88.050,86.550,87.980,+0.630,3904,20653,+148,Lean Hogs(CME)
118,Aug20,200115,86.400,87.080,85.700,87.035,+0.635,3683,29460,-56,Lean Hogs(CME)
119,Oct20,200115,74.885,75.500,74.480,75.400,+0.400,2537,19640,+864,Lean Hogs(CME)
120,Dec20,200115,69.080,69.535,68.680,69.400,+0.320,1237,9672,+537,Lean Hogs(CME)
123,Jan20,200115,16.95,17.00,16.94,16.99,+0.05,139,2964,-38,Class III Milk(CME)
124,Feb20,200115,16.82,17.12,16.80,17.08,+0.23,413,2758,-37,Class III Milk(CME)
