,month,date,open,high,low,close,change,volume,open_interest,change_in_oi,future
16,Jan20,191231,298.10,302.00,296.80,299.90,+2.40,41843,19917,-12579,Soybean Meal(CBOT)
17,Mar20,191231,302.80,307.10,301.70,304.70,+2.40,64699,213435,"+5,357",Soybean Meal(CBOT)
18,May20,191231,306.20,310.70,305.70,308.50,+2.40,13703,90147,+86,Soybean Meal(CBOT)
19,Jul20,191231,309.90,314.30,309.30,312.00,+2.20,8121,54704,+206,Soybean Meal(CBOT)
20,Aug20,191231,311.50,315.60,310.70,313.20,+2.10,1546,10822,+31,Soybean Meal(CBOT)
21,Sep20,191231,312.20,316.20,311.60,313.90,+2.10,747,9868,+83,Soybean Meal(CBOT)
22,Oct20,191231,311.30,315.60,311.00,313.30,+2.10,238,7820,+61,Soybean Meal(CBOT)
23,Dec20,191231,313.00,317.30,312.40,314.90,+2.00,1456,25450,+119,Soybean Meal(CBOT)
24,Jan21,191231,313.30,316.20,313.30,313.90,+2.00,253,2148,+0,Soybean Meal(CBOT)
25,Mar21,191231,311.00,313.70,311.00,311.60,+1.80,139,3954,+9,Soybean Meal(CBOT)
28,Jan20,191231,35.10,35.10,34.12,34.49,-0.68,42250,16300,-10410,Soybean Oil(CBOT)
29,Mar20,191231,35.35,35.40,34.38,34.77,-0.68,79423,249154,+383,Soybean Oil(CBOT)
30,May20,191231,35.58,35.67,34.69,35.06,-0.69,12565,97692,"+1,017",Soybean Oil(CBOT)
31,Jul20,191231,35.98,35.98,34.99,35.36,-0.68,6528,73766,+231,Soybean Oil(CBOT)
32,Aug20,191231,36.00,36.00,35.02,35.37,-0.68,2457,12173,+29,Soybean Oil(CBOT)
33,Sep20,191231,35.96,36.03,35.08,35.41,-0.69,497,9033,-24,Soybean Oil(CBOT)
34,Oct20,191231,36.03,36.03,35.11,35.43,-0.70,423,8022,+281,Soybean Oil(CBOT)
35,Dec20,191231,36.17,36.17,35.22,35.57,-0.70,1635,33862,+144,Soybean Oil(CBOT)
36,Jan21,191231,35.53,35.59,35.32,35.56,-0.72,203,2861,+106,Soybean Oil(CBOT)
37,Mar21,191231,36.01,36.02,35.20,35.44,-0.70,145,2250,+54,Soybean Oil(CBOT)
40,Jan20,191231,469.7,470.3,462.9,467.5,-1.2,4235,2288,-3081,Canola(WCE)
41,Mar20,191231,478.5,479.3,473.8,478.1,-1.1,13311,87080,+502,Canola(WCE)
42,May20,191231,487.9,488.2,482.8,487.5,-0.7,2441,43082,+533,Canola(WCE)
43,Jul20,191231,493.6,493.9,488.6,493.8,-0.2,1197,16632,+468,Canola(WCE)
44,Nov20,191231,496.0,497.6,492.2,497.3,-0.3,811,24671,+306,Canola(WCE)
47,Mar20,191231,388.25,389.75,386.25,387.75,-0.50,85213,746556,-2241,Corn(CBOT)
48,May20,191231,395.25,396.50,393.25,394.75,-0.50,15412,204661,"+1,118",Corn(CBOT)
49,Jul20,191231,401.25,402.75,399.50,401.00,-0.50,11569,244462,+824,Corn(CBOT)
50,Sep20,191231,401.50,402.00,399.50,401.00,-0.50,3896,89595,"+1,171",Corn(CBOT)
51,Dec20,191231,402.50,403.25,401.25,402.50,-0.50,9976,161977,+770,Corn(CBOT)
52,Mar21,191231,411.25,412.00,410.00,411.25,-0.75,846,9104,+91,Corn(CBOT)
53,May21,191231,415.75,416.25,415.00,415.50,-1.00,225,1596,+60,Corn(CBOT)
54,Jul21,191231,419.00,419.50,417.00,418.50,-1.00,550,4208,+398,Corn(CBOT)
55,Sep21,191231,410.00,410.00,409.50,409.50,-0.50,4,833,-1,Corn(CBOT)
56,Dec21,191231,410.50,410.75,409.75,410.50,-1.00,303,7685,+241,Corn(CBOT)
59,Mar20,191231,555.00,559.75,553.00,558.75,+2.75,52110,209650,"+2,146",Wheat(CBOT)
60,May20,191231,556.00,562.75,556.00,561.75,+2.75,12417,57490,+991,Wheat(CBOT)
61,Jul20,191231,559.50,564.75,558.00,563.50,+2.50,10277,83277,+311,Wheat(CBOT)
62,Sep20,191231,565.00,570.00,563.75,568.75,+2.50,4407,22441,+457,Wheat(CBOT)
63,Dec20,191231,574.00,578.75,572.25,577.75,+2.50,2515,22219,+227,Wheat(CBOT)
64,Mar21,191231,582.25,587.25,581.25,586.00,+2.50,429,6551,+49,Wheat(CBOT)
67,Mar20,191231,480.00,487.00,477.50,486.00,+5.50,26701,143158,-3518,Wheat(KCBT)
68,May20,191231,487.00,495.25,486.25,494.25,+5.25,7450,51079,+462,Wheat(KCBT)
69,Jul20,191231,495.75,502.00,494.00,501.25,+5.00,6098,45932,"+1,330",Wheat(KCBT)
70,Sep20,191231,501.50,508.50,501.50,508.00,+4.25,1718,11564,-89,Wheat(KCBT)
71,Dec20,191231,513.75,518.75,512.50,518.25,+4.00,722,15073,+291,Wheat(KCBT)
72,Mar21,191231,523.00,528.50,522.50,527.75,+3.50,63,1643,+14,Wheat(KCBT)
73,May21,191231,528.75,531.50,525.75,530.75,+4.50,15,225,+14,Wheat(KCBT)
76,Mar20,191231,556.00,562.00,555.25,561.00,+4.00,6683,32300,+707,Wheat(MGE)
77,May20,191231,565.50,571.00,564.50,570.25,+4.00,2513,13524,+18,Wheat(MGE)
78,Jul20,191231,573.00,578.25,573.00,577.25,+3.00,372,6562,-126,Wheat(MGE)
79,Sep20,191231,582.00,585.75,582.00,585.25,+2.75,175,4879,-52,Wheat(MGE)
80,Dec20,191231,594.50,598.00,594.50,597.25,+2.25,120,2622,+49,Wheat(MGE)
81,Mar21,191231,609.00,609.25,607.25,609.25,+1.75,35,922,+1,Wheat(MGE)
84,Mar20,191231,290.75,293.00,289.75,292.00,+1.50,529,4097,-118,Oats(CBOT)
85,May20,191231,289.75,290.00,288.00,289.75,+2.00,58,373,+11,Oats(CBOT)
86,Jul20,191231,285.00,285.00,283.00,283.25,-0.75,9,111,+4,Oats(CBOT)
87,Sep20,191231,274.00,274.00,274.00,274.00,-2.75,0,61,+0,Oats(CBOT)
90,Jan20,191231,12.96,13.14,12.96,13.14,+0.17,831,1112,-600,Rough Rice(CBOT)
91,Mar20,191231,13.19,13.31,13.15,13.28,+0.02,1348,9140,+415,Rough Rice(CBOT)
92,May20,191231,13.40,13.41,13.39,13.39,+0.02,40,220,+19,Rough Rice(CBOT)
93,Jul20,191231,13.23,13.23,13.21,13.21,-0.01,21,54,+9,Rough Rice(CBOT)
96,Feb20,191231,126.180,126.700,125.700,125.930,-0.500,16072,164018,-787,Live Cattle(CME)
97,Apr20,191231,127.400,127.785,126.850,127.180,-0.500,8867,92042,-231,Live Cattle(CME)
98,Jun20,191231,118.830,119.135,118.550,118.900,-0.100,5435,81536,-843,Live Cattle(CME)
99,Aug20,191231,116.535,116.730,116.200,116.480,-0.170,2302,27896,+614,Live Cattle(CME)
100,Oct20,191231,118.450,118.600,118.100,118.535,+0.035,756,8948,+96,Live Cattle(CME)
101,Dec20,191231,120.680,120.885,120.385,120.830,+0.100,135,3502,+6,Live Cattle(CME)
